plotID,datetime,SM_10,SM_20
AEG18,2016,29.91328,NA
AEG18,2017,34.39195,NA
AEG18,2018,33.09073,NA
AEG18,2019,38.62565,NA
AEG18,2020,NA,NA
AEG19,2009,NA,NA
AEG19,2010,NA,NA
AEG19,2011,NA,NA
AEG19,2012,NA,NA
AEG19,2013,NA,NA
AEG19,2014,NA,NA
AEG19,2015,NA,NA
AEG19,2016,39.40262,NA
AEG19,2017,36.36411,NA
AEG19,2018,28.67394,NA
AEG19,2019,35.06412,NA
AEG19,2020,NA,NA
AEG20,2009,NA,NA
AEG20,2010,45.16559,NA
AEG20,2011,44.76432,NA
AEG20,2012,NA,NA
AEG20,2013,42.59712,NA
AEG20,2014,44.06403,NA
AEG20,2015,41.20490,NA
AEG20,2016,42.81054,NA
AEG20,2017,43.68784,NA
AEG20,2018,43.14805,NA
AEG20,2019,48.07723,NA
AEG20,2020,NA,NA
AEG21,2009,NA,NA
AEG21,2010,33.89677,NA
AEG21,2011,NA,NA
AEG21,2012,NA,NA
AEG21,2013,43.32344,NA
AEG21,2014,40.54051,NA
AEG21,2015,NA,NA
AEG21,2016,31.48380,NA
AEG21,2017,35.57006,NA
AEG21,2018,28.93764,NA
AEG21,2019,36.52835,NA
AEG21,2020,NA,NA
AEG22,2009,NA,NA
AEG22,2010,45.71230,NA
AEG22,2011,NA,NA
AEG22,2012,44.41803,NA
AEG22,2013,NA,NA
AEG22,2014,46.63404,NA
AEG22,2015,42.62178,NA
AEG22,2016,40.17767,NA
AEG22,2017,38.48268,NA
AEG22,2018,28.16714,NA
AEG22,2019,NA,NA
AEG22,2020,NA,NA
AEG23,2009,NA,NA
AEG23,2010,46.68874,NA
AEG23,2011,43.42567,NA
AEG23,2012,NA,NA
AEG23,2013,NA,NA
AEG23,2014,NA,NA
AEG23,2015,36.89650,NA
AEG23,2016,38.96436,NA
AEG23,2017,40.75103,NA
AEG23,2018,34.34847,NA
AEG23,2019,42.00568,NA
AEG23,2020,NA,NA
AEG24,2008,NA,NA
AEG24,2009,NA,NA
AEG24,2010,48.97089,NA
AEG24,2011,44.97847,NA
AEG24,2012,43.59462,NA
AEG24,2013,48.28999,NA
AEG24,2014,NA,NA
AEG24,2015,39.97351,NA
AEG24,2016,38.26429,NA
AEG24,2017,NA,NA
AEG24,2018,36.44135,NA
AEG24,2019,NA,NA
AEG24,2020,NA,NA
AEG25,2009,NA,NA
AEG25,2010,44.63696,NA
AEG25,2011,44.30645,NA
AEG25,2012,45.06202,NA
AEG25,2013,42.94107,NA
AEG25,2014,41.31779,NA
AEG25,2015,38.13748,NA
AEG25,2016,34.73319,NA
AEG25,2017,36.45225,NA
AEG25,2018,32.63698,NA
AEG25,2019,35.01714,NA
AEG25,2020,NA,NA
AEG26,2009,NA,NA
AEG26,2010,NA,NA
AEG26,2011,NA,NA
AEG26,2012,44.86758,NA
AEG26,2013,45.33653,NA
AEG26,2014,NA,NA
AEG26,2015,NA,NA
AEG26,2016,35.81131,NA
AEG26,2017,NA,NA
AEG26,2018,NA,NA
AEG26,2019,NA,NA
AEG27,2009,NA,NA
AEG27,2010,NA,NA
AEG27,2011,NA,NA
AEG27,2012,40.56996,NA
AEG27,2013,42.11586,NA
AEG27,2014,42.04365,NA
AEG27,2015,36.26126,NA
AEG27,2016,30.89921,NA
AEG27,2017,32.40588,NA
AEG27,2018,26.19508,NA
AEG27,2019,30.30746,NA
AEG27,2020,NA,NA
AEG28,2009,NA,NA
AEG28,2010,NA,NA
AEG28,2011,NA,NA
AEG28,2012,NA,NA
AEG28,2013,39.76839,NA
AEG28,2014,39.84147,NA
AEG28,2015,36.19943,NA
AEG28,2016,28.70945,NA
AEG28,2017,28.55190,NA
AEG28,2018,NA,NA
AEG28,2019,27.75121,NA
AEG28,2020,NA,NA
AEG29,2014,NA,NA
AEG29,2015,18.89187,NA
AEG29,2016,17.95976,NA
AEG29,2017,17.83005,NA
AEG29,2018,NA,NA
AEG29,2019,NA,NA
AEG29,2020,NA,NA
AEG30,2009,NA,NA
AEG30,2010,39.25476,NA
AEG30,2011,NA,NA
AEG30,2012,42.59890,NA
AEG30,2013,NA,NA
AEG30,2014,NA,NA
AEG30,2015,NA,NA
AEG30,2016,40.83311,NA
AEG30,2017,39.66093,NA
AEG30,2018,33.37349,NA
AEG30,2019,NA,NA
AEG30,2020,NA,NA
AEG31,2009,NA,NA
AEG31,2010,NA,NA
AEG31,2011,36.04464,NA
AEG31,2012,NA,NA
AEG31,2013,NA,NA
AEG31,2014,34.80807,NA
AEG31,2015,32.01651,NA
AEG31,2016,32.45105,NA
AEG31,2017,35.88316,NA
AEG31,2018,29.31413,NA
AEG31,2019,35.04560,NA
AEG31,2020,NA,NA
AEG32,2009,NA,NA
AEG32,2010,44.09381,NA
AEG32,2011,40.82431,NA
AEG32,2012,43.47923,NA
AEG32,2013,NA,NA
AEG32,2014,NA,NA
AEG32,2015,NA,NA
AEG32,2016,40.61941,NA
AEG32,2017,41.98358,NA
AEG32,2018,39.12033,NA
AEG32,2019,42.36792,NA
AEG32,2020,NA,NA
AEG33,2009,NA,NA
AEG33,2010,45.02463,NA
AEG33,2011,NA,NA
AEG33,2012,44.27121,NA
AEG33,2013,46.38504,NA
AEG33,2014,NA,NA
AEG33,2015,NA,NA
AEG33,2016,41.18972,NA
AEG33,2017,41.95740,NA
AEG33,2018,36.25225,NA
AEG33,2019,42.68602,NA
AEG33,2020,NA,NA
AEG34,2009,NA,NA
AEG34,2010,38.71796,NA
AEG34,2011,39.09779,NA
AEG34,2012,37.21467,NA
AEG34,2013,37.51714,NA
AEG34,2014,39.19875,NA
AEG34,2015,36.69128,NA
AEG34,2016,NA,NA
AEG34,2017,39.07931,NA
AEG34,2018,33.60240,NA
AEG34,2019,37.56076,NA
AEG34,2020,NA,NA
AEG35,2009,NA,NA
AEG35,2010,43.42097,NA
AEG35,2011,NA,NA
AEG35,2012,NA,NA
AEG35,2013,44.46394,NA
AEG35,2014,40.97308,NA
AEG35,2015,38.82421,NA
AEG35,2016,38.42639,NA
AEG35,2017,39.86987,NA
AEG35,2018,30.77744,NA
AEG35,2019,38.53542,NA
AEG35,2020,NA,NA
AEG36,2009,NA,NA
AEG36,2010,NA,NA
AEG36,2011,42.70053,NA
AEG36,2012,42.98495,NA
AEG36,2013,44.25016,NA
AEG36,2014,43.10574,NA
AEG36,2015,36.95893,NA
AEG36,2016,38.19936,NA
AEG36,2017,40.77604,NA
